brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,depth,width,features/0/description,features/1/description
Acer,PHN16-71-73LT,"4,6","343,0","1179,99",USD,"11,02","14,18","Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the pristine WQXGA (2560 x 1600) IPS panel has a fast 165Hz refresh rate, NVIDIA G-SYNC technology, 3ms Overdrive response time, 500nit Brightness and is 100% sRGB."
Microsoft,QIL-00001,"4,8","517,0","1199,99",USD,"8,2","11,3",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
Microsoft,QIL-00052,"4,8","517,0","1199,99",USD,"8,2","11,3",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
Microsoft,Z2D-00001,"4,4","9,0","3299,99",USD,"12,72","9,06",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Windows 11 is optimized for touch on Surface Laptop Studio 2. Tap, drag, swipe, and pinch like you do on your smartphone."
Lenovo,82LM00UEUS,"5,0","2,0","339,99",USD,"8,33","12,66",8GB Soldered DDR4-3200,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
Lenovo,T470,"4,6","5,0","349,99",USD,"13,25","9,15","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity.
Microsoft,QEZ-00001,"4,7","655,0","799,99",USD,"8,2","11,3",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
Lenovo,21JN003YUS,"4,8","4,0","749,99",USD,"9,75","0,78","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
ASUS,UP3404VADS74T,"4,3","15,0","1199,99",USD,"8,8","12,26","Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","The 2880x1800 2.8K OLED touchscreen display showcases your games and movies with impressive color and clarity.  Touch, tap, and glide along the PANTONE Validated glossy touchscreen display."
Acer,PHN16-71-73RR,"4,8","140,0","949,99",USD,"11,02","14,18","Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the pristine WUXGA (1920 x 1200) IPS panel has a fast 165Hz refresh rate, NVIDIA G-SYNC technology, 3ms Overdrive response time, 400nit Brightness and is 100% sRGB."
Microsoft,RS1-00001,"4,8","4,0","1205,0",USD,"8,2","11,3",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Surface Pro 9 with 5G and Microsoft SQ 3 introduces the next wave of innovation with 5G connectivity,² AI-enhanced video calling, and longer battery life.⁴ It’s the perfect choice for life on the go.⁷"
Acer,PH16-71-93FR,"4,3","89,0","1849,99",USD,"10,88","14,15","Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the WQXGA LED panel clocks in with a fast 240Hz refresh & 3ms Overdrive response time. With NVIDIA G-SYNC and NVIDIA Advanced Optimus, you're guaranteed that games, movies, and whatever's on-screen – all benefit from extreme levels of performance."
Lenovo,82LV003WUS,"3,0","2,0","143,99",USD,"9,29","14,18",4GB Soldered DDR4-2933,128GB eMMC 5.1
HP,822P5UT#ABA,"5,0","1,0","899,99",USD,"9,0","14,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
Lenovo,21JN003XUS,"4,5","4,0","1039,99",USD,"9,75","0,78","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
Lenovo,21JT001QUS,"5,0","2,0","909,99",USD,"9,75","14,02","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
Dell,5480,"4,5","13,0","323,99",USD,"9,0","13,1","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with the powerful management tools.",Typical 1366 x 768 HD resolution.
Dell,9268W,"5,0","2,0","1109,99",USD,"8,0","12,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
HP,BB5-32872,"4,4","42,0","309,99",USD,"9,33","13,4","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with the powerful management tools.",Its 1280 x 720 resolution provides bright colors and clarity.
Dell,R3T1W,"4,7","3,0","979,99",USD,"9,0","14,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
MSI,Thin GF63 12UCX-898US,"4,6","114,0","699,99",USD,"9,99","14,13","Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",IPS technology offers wide viewing angles. 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity.
Microsoft,Z3G-00001,"5,0","3,0","3506,0",USD,"12,72","9,06",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Windows 11 is optimized for touch on Surface Laptop Studio 2. Tap, drag, swipe, and pinch like you do on your smartphone."
Acer,NX.VP2AA.008,"5,0","1,0","1099,99",USD,"9,0","12,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",IPS technology offers wide viewing angles. The 1920 x 1080 resolution boasts impressive color and clarity LED backlight.
